From	To
pMouseCNL24group4	pMouseCNL58
pMouseCNL25group4	pMouseCNL59
pMouseCN493	pMouseCNL78
pMouseCNL53	pMouseCNL77
pMouseCN516	pMouseCN574
pMouseCN540group10	pMouseCN586
pMouseCN552group11	pMouseCNL79
pMouseCN529group11	pCNL80
pMouseCN546group11	pCNL82
